GeneID	GeneName	GTEx_Tissue	AltaiPCTL	VindijaPCTL	DenisovaPCTL
ENSG00000005810	MYCBP2	Adipose_Subcutaneous	73.44249201277955	73.44249201277955	73.44249201277955
ENSG00000005810	MYCBP2	Brain_Caudate_basal_ganglia	86.28194888178913	86.28194888178913	86.28194888178913
ENSG00000005810	MYCBP2	Nerve_Tibial	74.68051118210863	74.68051118210863	74.68051118210863
ENSG00000005810	MYCBP2	Prostate	46.00638977635783	46.00638977635783	43.849840255591054
ENSG00000005810	MYCBP2	Skin_Not_Sun_Exposed_Suprapubic	79.2332268370607	79.2332268370607	77.39616613418531
ENSG00000005810	MYCBP2	Breast_Mammary_Tissue	92.05271565495208	92.57188498402556	98.24281150159744
ENSG00000005810	MYCBP2	Cells_Cultured_fibroblasts	83.34664536741214	83.34664536741214	83.34664536741214
ENSG00000005812	FBXL3	Adipose_Subcutaneous	0.0	0.0	0.0
ENSG00000005812	FBXL3	Heart_Atrial_Appendage	8.466453674121405	8.466453674121405	8.466453674121405
ENSG00000005812	FBXL3	Artery_Tibial	1.7172523961661341	1.7172523961661341	1.7172523961661341
ENSG00000005812	FBXL3	Nerve_Tibial	6.409744408945687	6.409744408945687	6.409744408945687
ENSG00000005812	FBXL3	Brain_Cerebellum	32.82747603833866	32.82747603833866	32.82747603833866
ENSG00000005812	FBXL3	Brain_Putamen_basal_ganglia	18.210862619808307	18.210862619808307	18.210862619808307
ENSG00000005812	FBXL3	Stomach	72.36421725239616	72.36421725239616	60.98242811501598
ENSG00000005812	FBXL3	Testis	78.03514376996804	76.23801916932908	58.86581469648562
ENSG00000005812	FBXL3	Cells_Cultured_fibroblasts	49.80031948881789	49.80031948881789	46.52555910543131
ENSG00000007171	NOS2	Adipose_Subcutaneous	70.44728434504792	72.88338658146965	66.53354632587859
ENSG00000007171	NOS2	Esophagus_Mucosa	94.68849840255591	94.68849840255591	94.68849840255591
ENSG00000007171	NOS2	Adipose_Visceral_Omentum	64.29712460063898	64.29712460063898	64.29712460063898
ENSG00000007171	NOS2	Esophagus_Muscularis	91.21405750798722	91.21405750798722	90.69488817891374
ENSG00000007171	NOS2	Adrenal_Gland	82.82747603833866	82.82747603833866	62.180511182108624
ENSG00000007171	NOS2	Heart_Atrial_Appendage	91.21405750798722	91.21405750798722	91.21405750798722
ENSG00000007171	NOS2	Brain_Anterior_cingulate_cortex_BA24	89.29712460063898	89.29712460063898	75.63897763578275
ENSG00000007171	NOS2	Artery_Aorta	66.29392971246007	66.29392971246007	66.29392971246007
ENSG00000007171	NOS2	Artery_Coronary	93.88977635782747	93.88977635782747	90.13578274760384
ENSG00000007171	NOS2	Artery_Tibial	84.98402555910543	84.98402555910543	82.90734824281151
ENSG00000007171	NOS2	Muscle_Skeletal	86.18210862619809	86.18210862619809	60.1038338658147
ENSG00000007171	NOS2	Brain_Caudate_basal_ganglia	93.29073482428115	93.29073482428115	92.53194888178913
ENSG00000007171	NOS2	Nerve_Tibial	88.13897763578275	88.13897763578275	70.16773162939297
ENSG00000007171	NOS2	Brain_Cerebellar_Hemisphere	93.17092651757189	93.17092651757189	87.61980830670926
ENSG00000007171	NOS2	Ovary	92.21246006389777	92.21246006389777	92.21246006389777
ENSG00000007171	NOS2	Brain_Cerebellum	94.68849840255591	94.68849840255591	92.85143769968052
ENSG00000007171	NOS2	Pancreas	87.8594249201278	87.8594249201278	62.22044728434505
ENSG00000007171	NOS2	Prostate	92.05271565495208	92.05271565495208	67.65175718849841
ENSG00000007171	NOS2	Brain_Hippocampus	78.51437699680511	88.69808306709265	76.99680511182109
ENSG00000007171	NOS2	Skin_Not_Sun_Exposed_Suprapubic	93.09105431309904	93.09105431309904	86.74121405750799
ENSG00000007171	NOS2	Brain_Hypothalamus	93.370607028754	93.370607028754	65.97444089456869
ENSG00000007171	NOS2	Skin_Sun_Exposed_Lower_leg	64.6964856230032	64.6964856230032	64.6964856230032
ENSG00000007171	NOS2	Brain_Nucleus_accumbens_basal_ganglia	92.2923322683706	92.2923322683706	90.65495207667732
ENSG00000007171	NOS2	Brain_Putamen_basal_ganglia	77.7555910543131	77.7555910543131	39.6964856230032
ENSG00000007171	NOS2	Spleen	69.80830670926518	69.80830670926518	29.43290734824281
ENSG00000007171	NOS2	Breast_Mammary_Tissue	95.56709265175719	95.56709265175719	94.32907348242811
ENSG00000007171	NOS2	Stomach	65.19568690095846	65.19568690095846	60.003993610223645
ENSG00000007171	NOS2	Thyroid	64.09744408945687	64.09744408945687	64.09744408945687
ENSG00000007171	NOS2	Colon_Sigmoid	56.94888178913738	56.94888178913738	55.11182108626198
ENSG00000007171	NOS2	Uterus	89.81629392971246	89.81629392971246	66.25399361022365
ENSG00000007171	NOS2	Esophagus_Gastroesophageal_Junction	91.85303514376997	91.85303514376997	66.05431309904154
ENSG00000025434	NR1H3	Adipose_Subcutaneous	1.8370607028753994	1.8370607028753994	1.7172523961661341
ENSG00000025434	NR1H3	Esophagus_Muscularis	66.81309904153355	66.81309904153355	66.81309904153355
ENSG00000025434	NR1H3	Artery_Aorta	80.09185303514377	80.09185303514377	80.09185303514377
ENSG00000025434	NR1H3	Artery_Tibial	6.9089456869009584	6.9089456869009584	6.9089456869009584
ENSG00000025434	NR1H3	Nerve_Tibial	15.814696485623003	14.656549520766774	73.84185303514377
ENSG00000025434	NR1H3	Brain_Hypothalamus	92.2923322683706	84.90415335463258	87.93929712460064
ENSG00000025434	NR1H3	Skin_Sun_Exposed_Lower_leg	53.89376996805112	53.89376996805112	53.89376996805112
ENSG00000025434	NR1H3	Small_Intestine_Terminal_Ileum	1.3578274760383386	1.3578274760383386	1.3578274760383386
ENSG00000025434	NR1H3	Testis	63.45846645367412	64.65654952076677	64.65654952076677
ENSG00000025434	NR1H3	Cells_Cultured_fibroblasts	2.635782747603834	2.635782747603834	2.635782747603834
ENSG00000025434	NR1H3	Thyroid	58.965654952076676	58.965654952076676	58.965654952076676
ENSG00000025434	NR1H3	Whole_Blood	58.78594249201278	58.78594249201278	58.78594249201278
ENSG00000036672	USP2	Adipose_Subcutaneous	0.0	0.0	0.0
ENSG00000036672	USP2	Esophagus_Mucosa	68.61022364217253	68.61022364217253	68.61022364217253
ENSG00000036672	USP2	Esophagus_Muscularis	98.44249201277955	98.44249201277955	89.49680511182109
ENSG00000036672	USP2	Adrenal_Gland	51.23801916932907	36.46166134185304	56.66932907348243
ENSG00000036672	USP2	Heart_Left_Ventricle	37.28035143769968	37.28035143769968	37.28035143769968
ENSG00000036672	USP2	Artery_Aorta	68.0111821086262	45.567092651757186	45.567092651757186
ENSG00000036672	USP2	Artery_Tibial	99.12140575079871	99.28115015974441	98.92172523961662
ENSG00000036672	USP2	Nerve_Tibial	0.7987220447284346	0.0	0.0
ENSG00000036672	USP2	Pituitary	7.448083067092652	7.448083067092652	7.448083067092652
ENSG00000036672	USP2	Skin_Not_Sun_Exposed_Suprapubic	53.01517571884984	53.01517571884984	53.01517571884984
ENSG00000036672	USP2	Brain_Hypothalamus	26.876996805111823	26.63738019169329	13.019169329073483
ENSG00000036672	USP2	Breast_Mammary_Tissue	92.99121405750799	92.99121405750799	92.99121405750799
ENSG00000036672	USP2	Stomach	43.9297124600639	43.9297124600639	47.96325878594249
ENSG00000036672	USP2	Cells_Cultured_fibroblasts	99.80031948881789	99.80031948881789	99.84025559105432
ENSG00000036672	USP2	Thyroid	92.73162939297124	92.73162939297124	87.89936102236422
ENSG00000049246	PER3	Adipose_Subcutaneous	54.27316293929712	54.27316293929712	54.27316293929712
ENSG00000049246	PER3	Brain_Hippocampus	58.52635782747604	58.52635782747604	58.52635782747604
