GeneID	GTEx_Tissue	Altai	Vindija	Denisova
ENSG00000034533	Adipose_Subcutaneous	1	1	0
ENSG00000081181	Adipose_Subcutaneous	1	1	0
ENSG00000088827	Adipose_Subcutaneous	1	0	0
ENSG00000101638	Adipose_Subcutaneous	1	1	1
ENSG00000103248	Adipose_Subcutaneous	1	1	0
ENSG00000103275	Adipose_Subcutaneous	1	1	0
ENSG00000103496	Adipose_Subcutaneous	1	1	1
ENSG00000104774	Adipose_Subcutaneous	1	0	0
ENSG00000105327	Adipose_Subcutaneous	1	1	1
ENSG00000108465	Adipose_Subcutaneous	1	1	1
ENSG00000109576	Adipose_Subcutaneous	1	1	0
ENSG00000110514	Adipose_Subcutaneous	1	1	0
ENSG00000112419	Adipose_Subcutaneous	1	1	0
ENSG00000112578	Adipose_Subcutaneous	1	1	1
ENSG00000114547	Adipose_Subcutaneous	1	1	1
ENSG00000117016	Adipose_Subcutaneous	1	0	0
ENSG00000119004	Adipose_Subcutaneous	1	1	1
ENSG00000119457	Adipose_Subcutaneous	1	1	0
ENSG00000122678	Adipose_Subcutaneous	1	1	0
ENSG00000123992	Adipose_Subcutaneous	1	1	1
ENSG00000125870	Adipose_Subcutaneous	1	0	0
ENSG00000127903	Adipose_Subcutaneous	1	1	1
ENSG00000135213	Adipose_Subcutaneous	1	1	1
ENSG00000135245	Adipose_Subcutaneous	1	1	1
ENSG00000135643	Adipose_Subcutaneous	1	1	0
ENSG00000136720	Adipose_Subcutaneous	1	1	0
ENSG00000138231	Adipose_Subcutaneous	1	1	1
ENSG00000138777	Adipose_Subcutaneous	1	0	0
ENSG00000139364	Adipose_Subcutaneous	1	1	0
ENSG00000140199	Adipose_Subcutaneous	1	0	0
ENSG00000141252	Adipose_Subcutaneous	1	0	1
ENSG00000142784	Adipose_Subcutaneous	1	1	1
ENSG00000143228	Adipose_Subcutaneous	1	1	0
ENSG00000148516	Adipose_Subcutaneous	1	1	1
ENSG00000148926	Adipose_Subcutaneous	1	1	1
ENSG00000152133	Adipose_Subcutaneous	1	1	1
ENSG00000154175	Adipose_Subcutaneous	1	1	1
ENSG00000154760	Adipose_Subcutaneous	1	1	0
ENSG00000155034	Adipose_Subcutaneous	1	1	1
ENSG00000155189	Adipose_Subcutaneous	1	1	1
ENSG00000162073	Adipose_Subcutaneous	1	1	0
ENSG00000162413	Adipose_Subcutaneous	1	1	1
ENSG00000164022	Adipose_Subcutaneous	1	1	0
ENSG00000164187	Adipose_Subcutaneous	1	1	1
ENSG00000166888	Adipose_Subcutaneous	1	1	1
ENSG00000167178	Adipose_Subcutaneous	1	0	0
ENSG00000167283	Adipose_Subcutaneous	1	1	0
ENSG00000167286	Adipose_Subcutaneous	1	1	1
ENSG00000171763	Adipose_Subcutaneous	1	1	1
ENSG00000173542	Adipose_Subcutaneous	1	1	1
ENSG00000173614	Adipose_Subcutaneous	1	1	1
ENSG00000174483	Adipose_Subcutaneous	1	1	1
ENSG00000174808	Adipose_Subcutaneous	1	1	1
ENSG00000175416	Adipose_Subcutaneous	1	1	0
ENSG00000176095	Adipose_Subcutaneous	1	1	1
ENSG00000179598	Adipose_Subcutaneous	1	1	1
ENSG00000197479	Adipose_Subcutaneous	1	1	1
ENSG00000197858	Adipose_Subcutaneous	1	1	1
ENSG00000213930	Adipose_Subcutaneous	1	0	0
ENSG00000218739	Adipose_Subcutaneous	1	1	1
ENSG00000220032	Adipose_Subcutaneous	1	1	0
ENSG00000244242	Adipose_Subcutaneous	1	1	1
ENSG00000255103	Adipose_Subcutaneous	1	1	0
ENSG00000268926	Adipose_Subcutaneous	1	1	1
ENSG00000059377	Esophagus_Mucosa	1	1	1
ENSG00000069974	Esophagus_Mucosa	1	1	1
ENSG00000070882	Esophagus_Mucosa	1	1	0
ENSG00000078674	Esophagus_Mucosa	1	1	0
ENSG00000100348	Esophagus_Mucosa	1	1	0
ENSG00000100568	Esophagus_Mucosa	1	1	1
ENSG00000105643	Esophagus_Mucosa	1	1	0
ENSG00000106348	Esophagus_Mucosa	1	1	0
ENSG00000126368	Esophagus_Mucosa	1	1	0
ENSG00000127054	Esophagus_Mucosa	1	1	0
ENSG00000135213	Esophagus_Mucosa	1	1	1
ENSG00000141012	Esophagus_Mucosa	1	1	1
ENSG00000141574	Esophagus_Mucosa	1	1	1
ENSG00000143772	Esophagus_Mucosa	1	0	0
ENSG00000157833	Esophagus_Mucosa	1	1	1
ENSG00000158714	Esophagus_Mucosa	1	1	1
ENSG00000161021	Esophagus_Mucosa	1	1	0
ENSG00000162073	Esophagus_Mucosa	1	1	0
ENSG00000164850	Esophagus_Mucosa	1	1	0
ENSG00000165752	Esophagus_Mucosa	1	1	0
ENSG00000167186	Esophagus_Mucosa	1	1	0
ENSG00000168356	Esophagus_Mucosa	1	1	1
ENSG00000171227	Esophagus_Mucosa	1	0	0
ENSG00000173614	Esophagus_Mucosa	1	1	1
ENSG00000176108	Esophagus_Mucosa	1	1	0
ENSG00000177025	Esophagus_Mucosa	1	1	0
ENSG00000181625	Esophagus_Mucosa	1	1	1
ENSG00000183309	Esophagus_Mucosa	1	0	0
ENSG00000186777	Esophagus_Mucosa	1	0	1
ENSG00000204314	Esophagus_Mucosa	1	0	1
ENSG00000206075	Esophagus_Mucosa	1	1	1
ENSG00000227268	Esophagus_Mucosa	1	1	1
ENSG00000258818	Esophagus_Mucosa	1	1	0
ENSG00000016490	Esophagus_Mucosa	1	1	1
ENSG00000110756	Esophagus_Mucosa	1	1	1
ENSG00000118922	Esophagus_Mucosa	1	1	0
ENSG00000119919	Esophagus_Mucosa	1	1	1
ENSG00000123684	Esophagus_Mucosa	1	1	0
ENSG00000125846	Esophagus_Mucosa	1	1	1
ENSG00000133067	Esophagus_Mucosa	1	1	1
ENSG00000138107	Esophagus_Mucosa	1	1	1
ENSG00000139318	Esophagus_Mucosa	1	1	0
ENSG00000140688	Esophagus_Mucosa	1	1	1
ENSG00000141506	Esophagus_Mucosa	1	1	0
ENSG00000151929	Esophagus_Mucosa	1	1	1
ENSG00000161798	Esophagus_Mucosa	1	1	1
ENSG00000171311	Esophagus_Mucosa	1	1	0
ENSG00000171467	Esophagus_Mucosa	1	0	0
ENSG00000171992	Esophagus_Mucosa	1	1	0
ENSG00000176261	Esophagus_Mucosa	1	1	1
ENSG00000178104	Esophagus_Mucosa	1	1	1
ENSG00000180801	Esophagus_Mucosa	1	1	0
ENSG00000182272	Esophagus_Mucosa	1	1	1
ENSG00000198546	Esophagus_Mucosa	1	1	0
ENSG00000269155	Esophagus_Mucosa	1	1	0
ENSG00000086205	Adipose_Visceral_Omentum	1	1	1
ENSG00000115661	Adipose_Visceral_Omentum	1	1	1
ENSG00000119227	Adipose_Visceral_Omentum	1	0	1
ENSG00000119943	Adipose_Visceral_Omentum	1	1	1
ENSG00000130921	Adipose_Visceral_Omentum	1	1	1
ENSG00000132153	Adipose_Visceral_Omentum	1	1	1
ENSG00000133983	Adipose_Visceral_Omentum	1	1	1
ENSG00000136819	Adipose_Visceral_Omentum	1	1	0
ENSG00000140459	Adipose_Visceral_Omentum	1	1	0
ENSG00000148843	Adipose_Visceral_Omentum	1	1	1
ENSG00000151632	Adipose_Visceral_Omentum	1	1	0
ENSG00000154229	Adipose_Visceral_Omentum	1	1	1
ENSG00000154309	Adipose_Visceral_Omentum	1	0	0
ENSG00000164197	Adipose_Visceral_Omentum	1	1	1
ENSG00000165752	Adipose_Visceral_Omentum	1	1	0
ENSG00000167123	Adipose_Visceral_Omentum	1	1	0
ENSG00000174080	Adipose_Visceral_Omentum	1	1	0
ENSG00000176148	Adipose_Visceral_Omentum	1	1	0
ENSG00000188542	Adipose_Visceral_Omentum	1	1	1
ENSG00000221953	Adipose_Visceral_Omentum	1	1	1
ENSG00000250673	Adipose_Visceral_Omentum	1	1	1
ENSG00000267508	Adipose_Visceral_Omentum	1	1	0
ENSG00000140538	Adipose_Visceral_Omentum	1	1	0
ENSG00000198791	Adipose_Visceral_Omentum	1	1	0
ENSG00000006831	Adipose_Visceral_Omentum	1	1	1
ENSG00000086589	Adipose_Visceral_Omentum	1	1	1
ENSG00000100591	Adipose_Visceral_Omentum	1	1	0
ENSG00000108231	Adipose_Visceral_Omentum	1	0	1
ENSG00000115896	Adipose_Visceral_Omentum	1	1	0
ENSG00000128607	Adipose_Visceral_Omentum	1	1	1
ENSG00000163156	Adipose_Visceral_Omentum	1	1	1
ENSG00000165669	Adipose_Visceral_Omentum	1	1	0
ENSG00000187266	Adipose_Visceral_Omentum	1	1	1
ENSG00000187607	Adipose_Visceral_Omentum	1	1	1
ENSG00000023909	Esophagus_Muscularis	1	1	1
ENSG00000064313	Esophagus_Muscularis	1	1	1
ENSG00000066248	Esophagus_Muscularis	1	1	1
ENSG00000073584	Esophagus_Muscularis	1	1	1
ENSG00000101052	Esophagus_Muscularis	1	1	0
ENSG00000107669	Esophagus_Muscularis	1	1	0
ENSG00000111348	Esophagus_Muscularis	1	1	1
ENSG00000115129	Esophagus_Muscularis	1	0	0
ENSG00000121101	Esophagus_Muscularis	1	1	1
ENSG00000131941	Esophagus_Muscularis	1	1	1
ENSG00000152944	Esophagus_Muscularis	1	1	1
ENSG00000163867	Esophagus_Muscularis	1	1	1
ENSG00000169914	Esophagus_Muscularis	1	1	0
ENSG00000170509	Esophagus_Muscularis	1	1	1
ENSG00000171503	Esophagus_Muscularis	1	0	0
ENSG00000173218	Esophagus_Muscularis	1	1	1
ENSG00000173473	Esophagus_Muscularis	1	1	1
ENSG00000183741	Esophagus_Muscularis	1	1	1
ENSG00000196648	Esophagus_Muscularis	1	1	1
ENSG00000197943	Esophagus_Muscularis	1	1	0
ENSG00000197980	Esophagus_Muscularis	1	1	0
ENSG00000198075	Esophagus_Muscularis	1	1	1
ENSG00000198399	Esophagus_Muscularis	1	1	0
ENSG00000253958	Esophagus_Muscularis	1	0	1
ENSG00000258366	Esophagus_Muscularis	1	1	0
ENSG00000268885	Esophagus_Muscularis	1	1	0
ENSG00000075239	Esophagus_Muscularis	1	1	1
ENSG00000085365	Esophagus_Muscularis	1	1	0
ENSG00000085741	Esophagus_Muscularis	1	0	0
ENSG00000090612	Esophagus_Muscularis	1	0	0
ENSG00000132950	Esophagus_Muscularis	1	1	0
ENSG00000145495	Esophagus_Muscularis	1	1	1
ENSG00000165915	Esophagus_Muscularis	1	1	1
ENSG00000166272	Esophagus_Muscularis	1	1	1
ENSG00000167333	Esophagus_Muscularis	1	1	0
ENSG00000173546	Esophagus_Muscularis	1	1	1
ENSG00000180071	Esophagus_Muscularis	1	0	1
ENSG00000188342	Esophagus_Muscularis	1	1	1
