GeneID	GeneName	Adipose_Subcutaneous	Esophagus_Mucosa	Adipose_Visceral_Omentum	Esophagus_Muscularis	Adrenal_Gland	Heart_Atrial_Appendage	Brain_Anterior_cingulate_cortex_BA24	Heart_Left_Ventricle	Artery_Aorta	Liver	Artery_Coronary	Lung	Artery_Tibial	Muscle_Skeletal	Brain_Caudate_basal_ganglia	Nerve_Tibial	Brain_Cerebellar_Hemisphere	Ovary	Brain_Cerebellum	Pancreas	Brain_Cortex	Pituitary	Brain_Frontal_Cortex_BA9	Prostate	Brain_Hippocampus	Skin_Not_Sun_Exposed_Suprapubic	Brain_Hypothalamus	Skin_Sun_Exposed_Lower_leg	Brain_Nucleus_accumbens_basal_ganglia	Small_Intestine_Terminal_Ileum	Brain_Putamen_basal_ganglia	Spleen	Breast_Mammary_Tissue	Stomach	Cells_EBV-transformed_lymphocytes	Testis	Cells_Cultured_fibroblasts	Thyroid	Colon_Sigmoid	Uterus	Colon_Transverse	Vagina	Esophagus_Gastroesophageal_Junction	Whole_Blood
ENSG00000129673	AANAT	0.6126198083067093	NaN	0.4984025559105431	0.04592651757188498	0.7432108626198083	NaN	0.3258785942492013	NaN	0.8246805111821086	NaN	0.0	0.5263578274760383	NaN	NaN	NaN	0.7575878594249201	NaN	NaN	0.0003993610223642173	NaN	0.9480830670926518	NaN	NaN	NaN	0.8031150159744409	0.3897763578274761	NaN	0.4005591054313099	NaN	NaN	NaN	0.2691693290734825	NaN	NaN	0.5834664536741214	0.5471246006389776	NaN	0.5535143769968051	0.5171725239616614	NaN	0.9001597444089456	NaN	NaN	0.8626198083067093
ENSG00000196839	ADA	0.9440894568690096	0.36022364217252395	NaN	0.8222843450479234	NaN	NaN	NaN	NaN	NaN	NaN	0.2272364217252396	0.7252396166134185	NaN	NaN	0.4840255591054313	NaN	NaN	0.9269169329073482	NaN	NaN	NaN	NaN	NaN	0.00439297124600639	NaN	NaN	NaN	NaN	0.9313099041533548	0.4492811501597444	0.7651757188498403	NaN	0.3003194888178914	NaN	0.99241214057508	NaN	0.8099041533546326	0.9105431309904152	NaN	NaN	NaN	NaN	NaN	0.1932907348242812
ENSG00000164742	ADCY1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.06669329073482429	0.5115814696485623	NaN	NaN	0.043530351437699684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.097444089456869	NaN	NaN	NaN	0.4964057507987221	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000181092	ADIPOQ	0.08146964856230032	NaN	0.2360223642172524	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.10063897763578276	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2895367412140575	NaN	NaN	NaN	NaN	NaN	NaN	0.15575079872204473	NaN	NaN	NaN	NaN	NaN	0.7871405750798722	0.015175718849840257	NaN	NaN	0.9788338658146964	NaN	0.5027955271565495	1.0
ENSG00000163485	ADORA1	NaN	NaN	NaN	NaN	NaN	0.7919329073482428	NaN	NaN	0.04073482428115016	NaN	NaN	0.08746006389776358	0.02196485623003195	NaN	NaN	NaN	NaN	0.38857827476038337	0.3761980830670926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.04792332268370607	NaN	NaN	NaN	NaN	NaN	1.0	0.8478434504792333
ENSG00000128271	ADORA2A	NaN	1.0	NaN	NaN	0.9676517571884984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	0.3406549520766773	0.10782747603833866	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8390575079872205	NaN	0.3821884984025559	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0003993610223642173
ENSG00000120907	ADRA1A	0.6936900958466453	0.10902555910543132	0.7204472843450479	0.30870607028753994	NaN	NaN	0.06469648562300319	NaN	NaN	0.6050319488817891	NaN	0.2803514376996805	0.9680511182108626	0.9293130990415336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5666932907348243	NaN	0.9217252396166136	NaN	NaN	NaN	NaN	NaN	0.2919329073482428	NaN	NaN	0.08386581469648563	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000170214	ADRA1B	NaN	0.96685303514377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5491214057507987	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010383386581469648	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000159723	AGRP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.05910543130990415	NaN	NaN	NaN	NaN	NaN	0.7232428115015974	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000101444	AHCY	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6944888178913738	0.8434504792332268	NaN	NaN	0.7931309904153354	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000106546	AHR	0.2615814696485623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8186900958466453	NaN	0.7883386581469649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.19089456869009586	0.04592651757188498	0.014776357827476038	NaN	NaN	NaN	NaN	0.2987220447284345	NaN	NaN	NaN	0.7244408945686901	NaN	NaN	0.5690894568690096
ENSG00000154027	AK5	NaN	NaN	NaN	NaN	NaN	NaN	0.5774760383386581	NaN	NaN	NaN	NaN	0.6920926517571885	0.5519169329073482	0.006789137380191693	0.6058306709265175	0.05071884984025559	NaN	NaN	NaN	NaN	0.6265974440894568	NaN	0.5906549520766773	NaN	NaN	NaN	0.2947284345047924	0.1361821086261981	NaN	NaN	0.7707667731629393	NaN	NaN	NaN	NaN	NaN	0.3917731629392972	0.3809904153354632	0.07188498402555911	NaN	NaN	NaN	NaN	0.4173322683706071
ENSG00000151150	ANK3	0.3853833865814696	0.7052715654952076	0.01597444089456869	NaN	0.9217252396166136	NaN	0.5139776357827476	0.3422523961661342	0.0035942492012779547	NaN	NaN	NaN	0.0003993610223642173	0.4644568690095847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	0.9145367412140576	NaN	NaN	NaN	NaN	0.11421725239616612	NaN	1.0	NaN	NaN	NaN	NaN	0.07747603833865814	NaN	0.8698083067092651	NaN	NaN	NaN	0.04832268370607029
ENSG00000133794	ARNTL	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	NaN	0.24680511182108625	NaN	NaN	NaN	NaN	NaN	0.21805111821086265	NaN	0.20966453674121405	0.19129392971246006	NaN	NaN	NaN	NaN	0.6130191693290735	NaN	NaN	NaN	0.996405750798722	0.026357827476038338	NaN	NaN	0.9788338658146964
ENSG00000029153	ARNTL2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4161341853035144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010383386581469648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000197070	ARRDC1	0.6853035143769968	NaN	NaN	1.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16613418530351434	NaN	0.9908146964856229	NaN	NaN	0.06509584664536741	NaN	0.3250798722044728	0.4756389776357827	NaN	0.4420926517571885	NaN	NaN	NaN	0.5155750798722045	NaN	NaN	0.3630191693290735	NaN	NaN	NaN	1.0	NaN	NaN	NaN	0.3714057507987221	0.7476038338658147	NaN	0.6968849840255591	NaN	NaN	0.7200479233226837	1.0
ENSG00000139352	ASCL1	0.4868210862619808	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2595846645367412	NaN	0.9680511182108626	NaN	NaN	NaN	NaN	0.026357827476038338	NaN	0.7288338658146964	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.041134185303514384	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
