RSID	Beta	P-Value	P-Value(log10)	Cumulative_Fraction
rs57033609	0.040955800000000014	1.51e-23	-22.82102305270683	1.0
rs960783	0.0449642	1.49e-15	-14.826813731587727	1.0
rs72984535	0.023628	6.42e-12	-11.192464971931146	1.0
rs116298301	-0.0453037	1.81e-10	-9.742321425130816	0.75
rs62194932	0.0210537	7.02e-10	-9.153662887870194	0.8
rs73123283	0.019505900000000003	1.69e-07	-6.772113295386326	0.8333333333333334
rs73114889	0.0183063	2.41e-07	-6.617982957425132	0.8571428571428571
rs17449259	0.0223662	2.12e-06	-5.673664139071248	0.875
rs4802506	0.01169	2.2e-05	-4.657577319177793	0.8888888888888888
rs3852447	-0.0195857	4.6e-05	-4.337242168318426	0.8
rs353143	-0.0191546	6.02e-05	-4.220403508742176	0.7272727272727273
rs71478860	-0.013355700000000002	9.32e-05	-4.030584087646019	0.6666666666666666
rs2032396	0.01053	0.000108	-3.96657624451305	0.6923076923076923
rs149754096	-0.0193738	0.000168	-3.774690718274137	0.6428571428571429
rs5030904	-0.0100031	0.000181	-3.7423214251308154	0.6
rs114364126	0.0224732	0.000188	-3.72584215073632	0.625
rs2304906	0.0240438	0.000189	-3.7235381958267557	0.6470588235294118
rs4788484	-0.0107976	0.00019	-3.721246399047171	0.6111111111111112
rs75889550	0.014167600000000002	0.000203	-3.692503962086787	0.631578947368421
rs6131737	0.0225727	0.000204	-3.6903698325741012	0.65
rs1864688	-0.00956833	0.000293	-3.5331323796458904	0.6190476190476191
rs56280439	0.0137438	0.000308	-3.5114492834995557	0.6363636363636364
rs78832829	-0.0420092	0.000323	-3.490797477668897	0.6086956521739131
rs75315524	-0.013585	0.000542	-3.266000713461613	0.5833333333333334
rs7367176	-0.00830652	0.000752	-3.123782159408358	0.56
rs17225783	0.00960427	0.000774	-3.1112590393171073	0.5769230769230769
rs10823232	-0.0107463	0.000884	-3.053547734986927	0.5555555555555556
rs7905792	-0.0149404	0.000988	-3.0052430554123717	0.5357142857142857
rs78658945	-0.010755	0.00105	-2.9788107009300617	0.5172413793103449
rs17226957	0.00911065	0.00109	-2.962573502059376	0.5333333333333333
rs57870697	-0.015062	0.00111	-2.9546770212133424	0.5161290322580645
rs74355610	-0.0129877	0.00117	-2.9318141382538383	0.5
rs17553053	0.0718575	0.00132	-2.87942606879415	0.5151515151515151
rs56382559	-0.00890625	0.00138	-2.8601209135987635	0.5
rs381590	-0.0213697	0.00142	-2.8477116556169433	0.4857142857142857
rs117226098	-0.0239123	0.00156	-2.8068754016455384	0.4722222222222222
rs72819648	0.0138836	0.00159	-2.7986028756795487	0.4864864864864865
rs183787206	0.331093	0.0016	-2.795880017344075	0.5
rs61897936	-0.0125031	0.00162	-2.7904849854573692	0.48717948717948717
rs17790746	0.00882162	0.00188	-2.72584215073632	0.5
rs55874171	0.00810533	0.00194	-2.712198270069774	0.5121951219512195
rs141761289	0.0246935	0.00198	-2.703334809738469	0.5238095238095238
rs1683876	0.0108302	0.00217	-2.6635402661514704	0.5348837209302325
rs77586738	-0.011629	0.00239	-2.621602099051862	0.5227272727272727
rs75439324	-0.0404036	0.0027	-2.5686362358410126	0.5111111111111111
rs535795866	0.0655424	0.00272	-2.5654310959658013	0.5217391304347826
rs80056540	0.0100704	0.00277	-2.5575202309355514	0.5319148936170213
rs146401175	0.028485700000000006	0.00285	-2.54515513999149	0.5416666666666666
rs72773710	-0.0163359	0.00295	-2.530177984021837	0.5306122448979592
rs80269466	-0.033105800000000005	0.00313	-2.5044556624535517	0.52
rs141821038	0.009717299999999998	0.00329	-2.4828041020500256	0.5294117647058824
rs140796421	0.0293493	0.00332	-2.4788619162959638	0.5384615384615384
rs72845519	-0.00980218	0.00338	-2.4710832997223453	0.5283018867924528
rs117990191	0.019064	0.00338	-2.4710832997223453	0.5370370370370371
rs116967050	-0.0396012	0.00354	-2.4509967379742124	0.5272727272727272
rs2103186	-0.0465379	0.00366	-2.4365189146055894	0.5178571428571429
rs141180150	0.0112819	0.00374	-2.4271283977995197	0.5263157894736842
rs74728949	-0.0967539	0.0038	-2.42021640338319	0.5172413793103449
rs142121195	-0.08549910000000001	0.00412	-2.3851027839668655	0.5084745762711864
rs111418120	-0.016668099999999998	0.00425	-2.3716110699496884	0.5
rs80246899	-0.0165506	0.00441	-2.3555614105321614	0.4918032786885246
rs78896181	-0.0127041	0.00468	-2.329754146925876	0.4838709677419355
rs139770169	0.046521	0.00473	-2.3251388592621884	0.49206349206349204
rs74416769	-0.0200706	0.00476	-2.322393047279507	0.484375
rs187064584	-0.013515200000000002	0.00486	-2.3133637307377066	0.47692307692307695
rs141107591	-0.034992	0.00507	-2.294992040666664	0.4696969696969697
rs111340728	-0.008445900000000001	0.0051	-2.2924298239020637	0.4626865671641791
rs79329059	0.026002	0.0051	-2.2924298239020637	0.47058823529411764
rs117702320	0.0476643	0.00533	-2.2732727909734276	0.4782608695652174
rs78565750	-0.029547800000000006	0.00536	-2.27083521030723	0.4714285714285714
rs75370943	-0.018175	0.00543	-2.265200170411153	0.4647887323943662
rs34855688	0.0143975	0.00626	-2.2034256667895704	0.4722222222222222
rs3740592	-0.019235	0.00634	-2.197910742118267	0.4657534246575342
rs113433024	-0.0292647	0.00647	-2.1890957193312994	0.4594594594594595
rs117611172	0.0201547	0.00667	-2.175874166083451	0.4666666666666667
rs1636442	0.0132484	0.00718	-2.1438755557577	0.47368421052631576
rs55964723	-0.00714071	0.00719	-2.1432711096171175	0.4675324675324675
rs3795424	0.016703700000000002	0.00723	-2.140861702705469	0.47435897435897434
rs34272003	0.013232399999999998	0.00723	-2.140861702705469	0.4810126582278481
rs112568463	0.0329017	0.00766	-2.115771230367396	0.4875
rs200010155	0.304746	0.00769	-2.114073660198569	0.49382716049382713
rs1264582	0.0121704	0.00795	-2.0996328713435295	0.5
rs1968644	-0.00895776	0.00799	-2.097453220686009	0.4939759036144578
rs72816455	-0.0167672	0.00805	-2.0942041196321313	0.4880952380952381
rs116802042	0.0153851	0.00837	-2.07727454200674	0.49411764705882355
rs75935321	-0.0147618	0.00886	-2.0525662781129492	0.4883720930232558
rs75824619	-0.0105389	0.00889	-2.0510982390297863	0.4827586206896552
rs56329200	-0.0119699	0.00926	-2.033389013318066	0.4772727272727273
rs10439218	0.014278799999999996	0.00929	-2.031984286006358	0.48314606741573035
rs144503683	0.03485	0.00936	-2.028724151261895	0.4888888888888889
rs74477231	-0.00980579	0.00938	-2.0277971616209354	0.4835164835164835
rs79993413	0.0108055	0.00951	-2.021819483062586	0.4891304347826087
rs7602358	0.0070179000000000005	0.00952	-2.0213630516155257	0.4946236559139785
rs117755077	-0.0135036	0.00976	-2.0105501823333083	0.48936170212765956
rs115074436	-0.0316423	0.0098	-2.008773924307505	0.4842105263157895
rs11152337	0.00732964	0.00994	-2.002613615602687	0.4895833333333333
rs77651038	-0.0579154	0.01	-2.0	0.4845360824742268
rs372257864	0.0534942	0.0101	-1.9956786262173574	0.4897959183673469
rs883518	-0.0161725	0.0102	-1.9913998282380825	0.48484848484848486
rs566736259	0.060024199999999986	0.0104	-1.9829666607012197	0.49
rs117257895	-0.0235798	0.0105	-1.978810700930062	0.48514851485148514
rs117421106	-0.0182852	0.0112	-1.9507819773298183	0.4803921568627451
rs117782304	0.0248865	0.0114	-1.9430951486635273	0.4854368932038835
rs139483844	0.055450699999999985	0.0115	-1.9393021596463882	0.49038461538461536
rs181074930	-0.022280900000000003	0.0116	-1.9355420107730814	0.4857142857142857
rs117095350	0.07868969999999999	0.012	-1.9208187539523751	0.49056603773584906
rs117330587	-0.037498	0.0121	-1.91721462968355	0.48598130841121495
rs76802419	-0.0561132	0.0123	-1.9100948885606022	0.48148148148148145
rs2302734	-0.0058785	0.0127	-1.8961962790440432	0.47706422018348627
rs3850585	-0.00907414	0.0132	-1.8794260687941502	0.4727272727272727
