GeneName	GWAS	SNPs	Intergenic	Context
AADAT	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs79751662	1	intergenic_variant
AC001226.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7332608	0	3_prime_UTR_variant
AC001226.2	gwas_catalog:EFO_0004354;EFO_0008328_|_PubMedID:26835600;30804565	rs9565309	0	3_prime_UTR_variant
AC001226.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs9573971	0	non_coding_transcript_exon_variant
AC001226.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9573980	0	3_prime_UTR_variant
AC001226.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9573999	0	intron_variant
AC002074.1	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs7809370	1	intergenic_variant
AC003087.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs10237162	1	intergenic_variant
AC003087.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs28479767	1	intergenic_variant
AC003087.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs56382918	1	intergenic_variant
AC003087.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs7795541	1	intergenic_variant
AC003092.2	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs7809370	1	intergenic_variant
AC004052.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs10610420	0	intron_variant
AC004083.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6988733	0	intron_variant
AC004464.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs12470989	0	intron_variant
AC004543.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs10267417	1	intergenic_variant
AC004909.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4027217	1	intergenic_variant
AC005064.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs6944123	0	intron_variant
AC005480.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs72627123	0	intron_variant
AC005520.3	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs72627123	0	intron_variant
AC005540.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs11677484	1	regulatory_region_variant
AC005552.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs7218593	1	intergenic_variant
AC005670.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12600452	0	intron_variant
AC005771.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs10491171	1	intergenic_variant
AC005871.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7900191	1	intergenic_variant
AC006460.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs11677484	1	regulatory_region_variant
